"","region","FISH","FOR","AG","GCAM_region_ID"
"1","Africa_Eastern",0.00941927974563932,0.0109413480190445,0.979639372235316,2
"2","Africa_Northern",0.0243984046183367,0.00081274603183221,0.974788849349831,3
"3","Africa_Southern",0.0145382069127092,0.00525860829306391,0.980203184794227,4
"4","Africa_Western",0.01785746609321,0.00996716089910267,0.972175373007687,5
"5","Brazil",0.0506669858251607,0.0417257560164053,0.907607258158434,7
"6","Central America and Caribbean",0.0174420760161208,0.00859443326852684,0.973963490715352,9
"7","Central Asia",0.00112017965527684,0.00545801005762447,0.993421810287099,10
"8","Colombia",0.0410271740755134,0.00996918807643501,0.949003637848052,32
"9","EU-12",0.00187443978304535,0.0455220357947335,0.952603524422221,12
"10","EU-15",0.0275252181940912,0.0523389173526152,0.920135864453294,13
"11","Europe_Eastern",0.00437213148226354,0.161175028566283,0.834452839951453,14
"12","Europe_Non_EU",0.00575141508991152,0.0149379917988664,0.979310593111222,15
"13","European Free Trade Association",0.0985158487237361,0.0602308792096659,0.841253272066598,16
"14","India",0.00752859209230785,0.00493150767062606,0.987539900237066,17
"15","Indonesia",0.0515029051449963,0.0153628243364941,0.93313427051851,18
"16","Japan",0.0767016442729937,0.032058114756421,0.891240240970585,19
"17","Mexico",0.0206585480389485,0.00881427878279206,0.970527173178259,20
"18","Middle East",0.0208138823494554,0.00616574372495422,0.97302037392559,21
"19","Pakistan",0.00451468092286709,0.00297775339669507,0.992507565680438,22
"20","South America_Northern",0.173816168278935,0.0508278273530482,0.775356004368016,25
"21","South America_Southern",0.0226436439712163,0.00889050994124982,0.968465846087534,26
"22","South Asia",0.0386938929876024,0.00353148029288391,0.957774626719514,27
"23","South Korea",0.0423845841990574,0.00779925899649206,0.949816156804451,28
"24","Southeast Asia",0.0684197239743682,0.0221521883436658,0.909428087681966,29
"25","USA",0.00807461868575274,0.07013354772557,0.921791833588677,1
"26","Australia_NZ",0.0123252250848171,0.0394080472321088,0.948266727683074,6
"27","Canada",0.0294346616787955,0.138750542912491,0.831814795408714,8
"28","China",0.0609071414525959,0.0431909332861113,0.895901925261293,11
"29","Russia",0.0126011413752708,0.0696205296189631,0.917778329005766,23
"30","South Africa",0.0051048138709376,0.0266541321741877,0.968241053954875,24
"31","Taiwan",0.0310495601230101,0.0134779387231254,0.955472501153865,30
"32","Argentina",0.00213891164315856,0.00830635601295755,0.989554732343884,31
