REG,year,value
Africa,1975,0.08346124320001218
Africa,1976,0.08468522990150773
Africa,1977,0.08616207950209952
Africa,1978,0.08764060093673916
Africa,1979,0.08939677019139647
Africa,1980,0.0911067964927469
Africa,1981,0.0925758026326616
Africa,1982,0.09426377528360123
Africa,1983,0.09607560031767506
Africa,1984,0.09777236774154204
Africa,1985,0.09948373802961483
Africa,1986,0.10116216628108432
Africa,1987,0.10295757679146
Africa,1988,0.10464731678269173
Africa,1989,0.10643962016196065
Africa,1990,0.10862029546706245
Africa,1991,0.12680620663039824
Africa,1992,0.13117525554813414
Africa,1993,0.13420524402527406
Africa,1994,0.13768964737173142
Africa,1995,0.1410463350769994
Africa,1996,0.14435147854994204
Africa,1997,0.14742183935002146
Africa,1998,0.15079978930726026
Africa,1999,0.15426717456246836
Africa,2000,0.15888954823846183
Africa,2001,0.16254691380972464
Africa,2002,0.1661937190925344
Africa,2003,0.1704982604263167
Africa,2004,0.17519809132073533
Africa,2005,0.17931263705288422
Africa,2006,0.18284978327833437
Africa,2007,0.18640328230598496
Africa,2008,0.18972783132000717
Africa,2009,0.19193566756859828
Africa,2010,0.19364438008564172
Africa,2011,0.1962913076643362
Africa,2012,0.1971936546732341
Africa,2013,0.20010644773870082
Africa,2014,0.2020045989433512
Africa,2015,0.20467445610632667
Africa,2016,0.2083130464225307
Africa,2017,0.21229887389402738
Africa,2018,0.21594486177405756
Africa,2019,0.2204320083483576
Africa,2020,0.22299079065235783
Africa,2025,0.23742736147593746
Africa,2030,0.24351551368724486
Africa,2035,0.2512609029136817
Africa,2040,0.25968845963849646
Africa,2045,0.26946438228953096
Africa,2050,0.27816981485958764
Africa,2055,0.28208881627925947
Africa,2060,0.28277961506721827
Africa,2065,0.2810562862265923
Africa,2070,0.2760005639748977
Africa,2075,0.26874693598276417
Africa,2080,0.25924269207162265
Africa,2085,0.248281733275745
Africa,2090,0.23608519698556302
Africa,2095,0.22325507489074217
Africa,2100,0.21003145885344543
China,1975,0.27800781498248567
China,1976,0.27436787471301205
China,1977,0.2707700741918475
China,1978,0.2672192283136105
China,1979,0.2700511086850375
China,1980,0.2745515210473593
China,1981,0.28068613697094824
China,1982,0.2908646822386743
China,1983,0.29362923867607515
China,1984,0.2909436257539549
China,1985,0.29340995231873235
China,1986,0.2945889915775106
China,1987,0.2983591181292771
China,1988,0.30376551623944653
China,1989,0.3128895469578612
China,1990,0.36630602812973334
China,1991,0.36805530575671924
China,1992,0.3643055079725394
China,1993,0.3547255530042654
China,1994,0.3448414513801473
China,1995,0.33451861424559964
China,1996,0.327825042575943
China,1997,0.3279954797548974
China,1998,0.3311457182891853
China,1999,0.3366763780744029
China,2000,0.33923272177353164
China,2001,0.3425063369213585
