REG,year,value
Africa,1975,-121.21321290631451
Africa,1976,-119.98922620481896
Africa,1977,-118.51237660422717
Africa,1978,-117.03385516958753
Africa,1979,-115.27768591493022
Africa,1980,-113.56765961357978
Africa,1981,-112.09865347366508
Africa,1982,-110.41068082272545
Africa,1983,-108.59885578865162
Africa,1984,-106.90208836478465
Africa,1985,-105.19071807671186
Africa,1986,-103.51228982524236
Africa,1987,-101.71687931486669
Africa,1988,-100.02713932363496
Africa,1989,-98.23483594436604
Africa,1990,-96.05416063926424
Africa,1991,-77.86824947592844
Africa,1992,-73.49920055819254
Africa,1993,-70.46921208105263
Africa,1994,-66.98480873459528
Africa,1995,-63.628121029327275
Africa,1996,-60.32297755638464
Africa,1997,-57.25261675630523
Africa,1998,-53.87466679906643
Africa,1999,-50.40728154385832
Africa,2000,-45.78490786786486
Africa,2001,-42.12754229660206
Africa,2002,-38.48073701379229
Africa,2003,-34.17619568001001
Africa,2004,-29.476364785591358
Africa,2005,-25.361819053442474
Africa,2006,-21.824672827992316
Africa,2007,-18.271173800341728
Africa,2008,-14.946624786319518
Africa,2009,-12.738788537728396
Africa,2010,-11.030076020684959
Africa,2011,-8.3831484419905
Africa,2012,-7.48080143309258
Africa,2013,-4.568008367625879
Africa,2014,-2.6698571629754895
Africa,2015,0
Africa,2016,3.6385903162040165
Africa,2017,7.624417787700679
Africa,2018,11.27040566773087
Africa,2019,15.757552242030926
Africa,2020,18.31633454603113
Africa,2025,32.75290536961077
Africa,2030,38.841057580918175
Africa,2035,46.586446807355
Africa,2040,55.01400353216977
Africa,2045,64.78992618320424
Africa,2050,73.49535875326094
Africa,2055,77.41436017293276
Africa,2060,78.1051589608916
Africa,2065,76.38183012026562
Africa,2070,71.32610786857103
Africa,2075,64.07247987643748
Africa,2080,54.56823596529594
Africa,2085,43.607277169418296
Africa,2090,31.41074087923633
Africa,2095,18.580618784415492
Africa,2100,5.357002747118742
China,1975,71.6218319876215
China,1976,67.98189171814786
China,1977,64.38409119698335
China,1978,60.83324531874635
China,1979,63.66512569017331
China,1980,68.16553805249512
China,1981,74.30015397608409
China,1982,84.4786992438101
China,1983,87.24325568121097
China,1984,84.55764275909073
China,1985,87.02396932386816
China,1986,88.20300858264645
China,1987,91.97313513441296
China,1988,97.37953324458235
China,1989,106.50356396299699
China,1990,159.92004513486918
China,1991,161.66932276185506
China,1992,157.91952497767525
China,1993,148.33957000940123
China,1994,138.45546838528313
China,1995,128.13263125073544
China,1996,121.43905958107885
China,1997,121.60949676003324
China,1998,124.75973529432113
China,1999,130.29039507953874
China,2000,132.84673877866746
China,2001,136.12035392649435
China,2002,138.39498611780286
China,2003,134.2850977626608
China,2004,121.33057765532462
China,2005,108.24652244867158
China,2006,94.11491733318095
China,2007,82.73935710420162
China,2008,75.1475214326351
China,2009,65.45347485691954
China,2010,56.453417903670555
China,2011,43.889994781372735
China,2012,36.182949264018134
China,2013,21.136743769208977
China,2014,8.173685095308599
China,2015,0
China,2016,-3.9713639836343475
China,2017,-9.15515656281599
China,2018,-15.593457770691685
China,2019,-23.230220611561833
China,2020,-25.66042205989649
China,2025,-43.70827864923035
China,2030,-59.46200499014412
China,2035,-73.36642255267265
China,2040,-85.3192909436243
China,2045,-94.20966188048943
China,2050,-102.3796182771795
China,2055,-110.81609705004948
China,2060,-118.27511922264956
China,2065,-124.951319350347
China,2070,-130.8462055112842
China,2075,-136.2702014478577
China,2080,-141.10723480154866
China,2085,-145.57854500444589
China,2090,-149.64520226936958
China,2095,-153.30810008657068
China,2100,-156.61300136001202
Europe,1975,23.25365742046024
Europe,1976,22.126793642591675
Europe,1977,21.339779055513237
Europe,1978,20.376326817910805
Europe,1979,20.03875129180319
Europe,1980,19.245178416335488
Europe,1981,18.127305696181867
Europe,1982,17.48105041945679
Europe,1983,17.03853852815089
Europe,1984,16.355298082998242
Europe,1985,15.612750079677998
Europe,1986,14.773363516197055
Europe,1987,14.040565784363505
Europe,1988,13.16660794184364
Europe,1989,12.343676128016003
Europe,1990,11.895738517074083
Europe,1991,13.844148544025497
Europe,1992,13.810214280018325
Europe,1993,12.986458239852933
Europe,1994,12.971842255602471
Europe,1995,13.059344138935028
Europe,1996,11.931931628681287
Europe,1997,11.583686526235063
Europe,1998,11.050808081760927
Europe,1999,10.370378726650163
Europe,2000,9.456280609464162
Europe,2001,8.191731522320396
Europe,2002,6.419452688862606
Europe,2003,5.8304958032040055
Europe,2004,4.443741564251489
Europe,2005,4.204500866600483
Europe,2006,3.291178503791894
Europe,2007,2.7514874251986434
Europe,2008,2.0134740713123875
Europe,2009,2.344560449674468
Europe,2010,2.543596952334923
Europe,2011,2.6847402898279995
Europe,2012,2.474409156871104
Europe,2013,2.3491151236864525
Europe,2014,0.31495386339371123
Europe,2015,0
Europe,2016,-0.5021668187138602
Europe,2017,-0.3873491344254525
Europe,2018,-0.6806971306737637
Europe,2019,-1.1166980188474582
Europe,2020,-0.5497893153398934
Europe,2025,-1.0459079183815305
Europe,2030,-1.76396852460649
Europe,2035,-2.4153601854325863
Europe,2040,-3.0226309094304717
Europe,2045,-3.524392005053979
Europe,2050,-4.046420782487008
Europe,2055,-4.608029425843824
Europe,2060,-5.20740022632172
Europe,2065,-5.800243610674121
Europe,2070,-6.4274699287672
Europe,2075,-7.075120189178593
Europe,2080,-7.719091324161667
Europe,2085,-8.341627339078963
Europe,2090,-8.950298193349079
Europe,2095,-9.530784542869554
Europe,2100,-10.097585783375012
South Asia,1975,-69.90061337444268
South Asia,1976,-66.47862989513868
South Asia,1977,-62.98587031905345
South Asia,1978,-59.42423616102286
South Asia,1979,-56.14199350859781
South Asia,1980,-52.507050417388
South Asia,1981,-49.77663824324421
South Asia,1982,-46.99171537068881
South Asia,1983,-44.59029058655136
South Asia,1984,-41.781911354361455
South Asia,1985,-39.80921075820143
South Asia,1986,-36.48560771920012
South Asia,1987,-34.61224486457843
South Asia,1988,-31.585342750175244
South Asia,1989,-29.207428457317434
South Asia,1990,-26.35156127292072
South Asia,1991,-24.785844139552268
South Asia,1992,-19.82842322188492
South Asia,1993,-15.575596013459688
South Asia,1994,-10.176259348640826
South Asia,1995,-7.484775905454569
South Asia,1996,-3.553087730525192
South Asia,1997,1.3724482364263508
South Asia,1998,7.826136969762615
South Asia,1999,11.421657712820775
South Asia,2000,15.707218349769164
South Asia,2001,19.264394212602724
South Asia,2002,20.69097297897207
South Asia,2003,23.195419554184298
South Asia,2004,26.018756378622868
South Asia,2005,28.120915227058845
South Asia,2006,27.19492610262182
South Asia,2007,25.463561935182838
South Asia,2008,25.997681371038823
South Asia,2009,21.6329081729113
South Asia,2010,19.705962170055102
South Asia,2011,11.146404239311266
South Asia,2012,2.0752763889386188
South Asia,2013,1.6897287967267403
South Asia,2014,1.2000784774622844
South Asia,2015,0
South Asia,2016,1.0964142469724152
South Asia,2017,-1.1178891609222887
South Asia,2018,-3.7970740303615003
South Asia,2019,-4.059012259029487
South Asia,2020,-8.782983304715287
South Asia,2025,-18.385106831280382
South Asia,2030,-19.76926465030303
South Asia,2035,-19.417376544446
South Asia,2040,-19.925141385202636
South Asia,2045,-21.35306092399719
South Asia,2050,-24.731999856484663
South Asia,2055,-32.05703200018118
South Asia,2060,-40.992212217266
South Asia,2065,-50.88597017125227
South Asia,2070,-61.42133126319317
South Asia,2075,-72.01717590341437
South Asia,2080,-82.54237061394886
South Asia,2085,-92.7532062233152
South Asia,2090,-102.64384654211506
South Asia,2095,-112.07081110837365
South Asia,2100,-121.06253257650448
Latin America,1975,-3.8640896307920514
Latin America,1976,-4.005076569970278
Latin America,1977,-2.8764251747909597
Latin America,1978,-3.4504054184539044
Latin America,1979,-3.6937629562056173
Latin America,1980,-5.105395894594871
Latin America,1981,-4.259247895801245
Latin America,1982,-3.314948727975654
Latin America,1983,-3.754746708064907
Latin America,1984,-1.610713631067206
Latin America,1985,-0.8431429143373492
Latin America,1986,-1.2733430482082682
Latin America,1987,-1.215394513064176
Latin America,1988,-0.8754289411104423
Latin America,1989,-0.8706334787283296
Latin America,1990,-0.9486062327307181
Latin America,1991,-2.3533337606400337
Latin America,1992,0.7801362742270115
Latin America,1993,1.030625631141639
Latin America,1994,0.5887171581788735
Latin America,1995,1.5177770960544663
Latin America,1996,0.7897018587908704
Latin America,1997,1.2359341460047446
Latin America,1998,1.0216042603627642
Latin America,1999,1.8066740546674325
Latin America,2000,-0.4725818470674028
Latin America,2001,1.0885396777914522
Latin America,2002,1.7155449846092026
Latin America,2003,1.8070618429573884
Latin America,2004,3.1779901602333496
Latin America,2005,3.0599613152728296
Latin America,2006,2.385631487681941
Latin America,2007,1.1859669781219893
Latin America,2008,0.6274194126248602
Latin America,2009,1.0001504351544028
Latin America,2010,1.4464758103859339
Latin America,2011,0.614014153341536
Latin America,2012,0.2699601141250554
Latin America,2013,-0.536560709701206
Latin America,2014,0.14029506273996617
Latin America,2015,0
Latin America,2016,-0.3331787391810508
Latin America,2017,0.2952058469808847
Latin America,2018,0.736734106214108
Latin America,2019,0.7857741977654271
Latin America,2020,0.055919683629809924
Latin America,2025,-0.06432927543713163
Latin America,2030,-0.756088104493216
Latin America,2035,-1.4764561177360704
Latin America,2040,-2.109628665968998
Latin America,2045,-2.5026776986370507
Latin America,2050,-3.0667202470095063
Latin America,2055,-4.001898866503936
Latin America,2060,-5.222859367876033
Latin America,2065,-6.489754102954368
Latin America,2070,-7.922946016123717
Latin America,2075,-9.369376827376893
Latin America,2080,-10.84145452634182
Latin America,2085,-12.287274593231796
Latin America,2090,-13.7229980736197
Latin America,2095,-15.08729924894119
Latin America,2100,-16.424043344324275
Middle East,1975,-1.9103921155362125
Middle East,1976,-1.9495595602422346
Middle East,1977,-2.0014564244777135
Middle East,1978,-2.051394916477891
Middle East,1979,-2.10427096683102
Middle East,1980,-2.1493135282429456
Middle East,1981,-2.080770500007408
Middle East,1982,-2.009289913418918
Middle East,1983,-1.9446636296539817
Middle East,1984,-1.8908083931832014
Middle East,1985,-1.8535993207124815
Middle East,1986,-1.8310780400065187
Middle East,1987,-1.8281404816535671
Middle East,1988,-1.8477242040065782
Middle East,1989,-1.8761206014184433
Middle East,1990,-1.9260590934186217
Middle East,1991,-1.8154110621241095
Middle East,1992,-1.551030810358463
Middle East,1993,-1.2582541611809503
Middle East,1994,-1.0712296127096952
Middle East,1995,-0.9635191397681364
Middle East,1996,-0.8802883197678391
Middle East,1997,-0.6678049322376722
Middle East,1998,-0.4807803837664171
Middle East,1999,-0.26633862400094976
Middle East,2000,0.13414849811812424
Middle East,2001,0.1782118734123994
Middle East,2002,0.2046498985889631
Middle East,2003,0.43084189176624044
Middle East,2004,0.6443044654140593
Middle East,2005,0.7245977270614024
Middle East,2006,0.40636223882497546
Middle East,2007,0.3290065355305831
Middle East,2008,-0.22031687647137232
Middle East,2009,-0.3417359550600416
Middle East,2010,-0.8274122694147099
Middle East,2011,-0.7392855188261613
Middle East,2012,-0.6687841183553225
Middle East,2013,-0.4837179421193696
Middle East,2014,-0.34663188564829284
Middle East,2015,0
Middle East,2016,-0.007833488941203726
Middle East,2017,-0.21150420141251836
Middle East,2018,-0.257525948942094
Middle East,2019,-0.2418589710596848
Middle East,2020,0.33672825960531405
Middle East,2025,0.7027138998399085
Middle East,2030,0.9584541286086186
Middle East,2035,1.2098431916714443
Middle East,2040,1.4098267725587057
Middle East,2045,1.6003573674848717
Middle East,2050,1.6964275608501307
Middle East,2055,1.667987051570277
Middle East,2060,1.548748140532469
Middle East,2065,1.3661129039692117
Middle East,2070,1.0787487431580747
Middle East,2075,0.7446941226448445
Middle East,2080,0.37039523906716987
Middle East,2085,-0.009100140939951373
Middle East,2090,-0.4101379327983583
Middle East,2095,-0.8220409553540371
Middle East,2100,-1.2492064565823746
North America,1975,1.2718540395676223
North America,1976,1.1053627290435042
North America,1977,1.0431277505366237
North America,1978,1.1228662618156382
North America,1979,1.0967985213425582
North America,1980,1.1009798232977457
North America,1981,1.1079019409239521
North America,1982,0.8667786330926179
North America,1983,0.8487317358420241
North America,1984,0.7458491767442519
North America,1985,0.5383018115766509
North America,1986,0.5795995568609671
North America,1987,0.6173354414368948
North America,1988,0.6463789580539179
North America,1989,0.5463653748851232
North America,1990,0.36988809718315885
North America,1991,0.34289251145774413
North America,1992,0.2825986636275055
North America,1993,0.204087038202728
North America,1994,0.5554208635749092
North America,1995,0.5667165235432408
North America,1996,0.36636895656075597
North America,1997,0.3635213406747715
North America,1998,0.2562225191488885
North America,1999,0.23176614530392037
North America,2000,0.12831886168469575
North America,2001,-0.08292788785288785
North America,2002,-0.06906229255748064
North America,2003,-0.1019239903988094
North America,2004,-0.15234130450189198
North America,2005,-0.16863931146278066
North America,2006,-0.1607893485842391
North America,2007,-0.2756390923867609
North America,2008,-0.2110357823433766
North America,2009,-0.2823903296690231
North America,2010,-0.2006252475413941
North America,2011,-0.15402611466261762
North America,2012,-0.22441009664994294
North America,2013,-0.2741772460595997
North America,2014,-0.17578439292255155
North America,2015,0
North America,2016,0.0900396126303078
North America,2017,0.015199281364609796
North America,2018,-0.018462101471095504
North America,2019,-0.006793957368248282
North America,2020,-0.023487348629656957
North America,2025,-0.02949921815834733
North America,2030,-0.07615280252804402
North America,2035,-0.10997187055903446
North America,2040,-0.12612548180658045
North America,2045,-0.10944153561841041
North America,2050,-0.10080835015341805
North America,2055,-0.11596561288033413
North America,2060,-0.14745338250154205
North America,2065,-0.17998331089475128
North America,2070,-0.23299204384595118
North America,2075,-0.2972882914431869
North America,2080,-0.36806863879115426
North America,2085,-0.44116681572743
North America,2090,-0.5177412191855071
North America,2095,-0.5940684036634782
North America,2100,-0.6758999141308011
Pacific OECD,1975,7.958141201891486
Pacific OECD,1976,7.948635713742608
Pacific OECD,1977,7.693649036628836
Pacific OECD,1978,7.44620600533419
Pacific OECD,1979,7.003711596541276
Pacific OECD,1980,6.457088869572171
Pacific OECD,1981,6.423075412298662
Pacific OECD,1982,6.1570138971470225
Pacific OECD,1983,5.721567446830042
Pacific OECD,1984,5.1512725549816665
Pacific OECD,1985,4.962097311348867
Pacific OECD,1986,4.778672293874031
Pacific OECD,1987,4.632897831135752
Pacific OECD,1988,4.424200842907945
Pacific OECD,1989,4.275624690326385
Pacific OECD,1990,3.9861756359119678
Pacific OECD,1991,3.566533711545521
Pacific OECD,1992,3.0216317678688682
Pacific OECD,1993,2.6971830613706134
Pacific OECD,1994,2.5081340688020166
Pacific OECD,1995,2.367508395452113
Pacific OECD,1996,2.2002007655821334
Pacific OECD,1997,2.1044627793384167
Pacific OECD,1998,2.146097146232317
Pacific OECD,1999,2.0138530808452675
Pacific OECD,2000,1.4009670550835853
Pacific OECD,2001,1.222348140926285
Pacific OECD,2002,1.3187701546552049
Pacific OECD,2003,1.0738755857378477
Pacific OECD,2004,1.030722262403784
Pacific OECD,2005,0.859177108380571
Pacific OECD,2006,0.7418986641154275
Pacific OECD,2007,0.7026880353838978
Pacific OECD,2008,0.6562280325944521
Pacific OECD,2009,0.5354665549678037
Pacific OECD,2010,0.39058410671394483
Pacific OECD,2011,0.1454015087406244
Pacific OECD,2012,0.20161649499348044
Pacific OECD,2013,0.15886294325971928
Pacific OECD,2014,0.09067789496809597
Pacific OECD,2015,0
Pacific OECD,2016,-0.09489632418851812
Pacific OECD,2017,-0.0896748984314315
Pacific OECD,2018,4.284075854954494e-6
Pacific OECD,2019,-0.001737094623798452
Pacific OECD,2020,-0.08356891397661625
Pacific OECD,2025,-0.25600123744986814
Pacific OECD,2030,-0.4647570251384683
Pacific OECD,2035,-0.6519305871665004
Pacific OECD,2040,-0.8388038109696572
Pacific OECD,2045,-0.9931141498724907
Pacific OECD,2050,-1.1386397719667705
Pacific OECD,2055,-1.2764731794510626
Pacific OECD,2060,-1.4161555031420336
Pacific OECD,2065,-1.5512837735366896
Pacific OECD,2070,-1.6829435982074505
Pacific OECD,2075,-1.811932412189674
Pacific OECD,2080,-1.9357692665437085
Pacific OECD,2085,-2.0543671470101996
Pacific OECD,2090,-2.168655907326462
Pacific OECD,2095,-2.2766930787715696
Pacific OECD,2100,-2.3813304823566264
Reforming,1975,2.7575079170116545
Reforming,1976,1.4524767564790224
Reforming,1977,1.4150474113943368
Reforming,1978,1.98739417594226
Reforming,1979,2.563724978809841
Reforming,1980,3.137059142216387
Reforming,1981,3.2096443489102633
Reforming,1982,3.4332556571268427
Reforming,1983,3.5746258360345635
Reforming,1984,3.6579002518982158
Reforming,1985,3.671069348799513
Reforming,1986,3.551111850362979
Reforming,1987,3.7506351609726707
Reforming,1988,3.6949963237366745
Reforming,1989,3.6729520457680636
Reforming,1990,4.1732874709545875
Reforming,1991,5.0911661781576285
Reforming,1992,5.892945351569104
Reforming,1993,5.843093208245627
Reforming,1994,5.834103362163937
Reforming,1995,5.314823410221088
Reforming,1996,5.111602832279797
Reforming,1997,4.5309433814874325
Reforming,1998,4.708227382382095
Reforming,1999,4.957579838241124
Reforming,2000,4.937039602408536
Reforming,2001,4.533537861931919
Reforming,2002,4.254161389749719
Reforming,2003,3.7522183768674644
Reforming,2004,3.4175819753367342
Reforming,2005,3.472233413714104
Reforming,2006,3.2945705410826776
Reforming,2007,2.6808333189031472
Reforming,2008,2.128762655766838
Reforming,2009,1.6070142970541923
Reforming,2010,1.1262429728991208
Reforming,2011,1.1558879005813019
Reforming,2012,0.9085100616860018
Reforming,2013,0.6266995533177528
Reforming,2014,0.33610582002806666
Reforming,2015,0
Reforming,2016,-0.22086724991338258
Reforming,2017,-1.0171354532471462
Reforming,2018,-1.3307722358736669
Reforming,2019,-1.5896658408811764
Reforming,2020,0.22216096822872444
Reforming,2025,-0.09251686743272103
Reforming,2030,-0.6860413377251433
Reforming,2035,-1.1647091573382866
Reforming,2040,-1.5569898533444864
Reforming,2045,-1.828396718887884
Reforming,2050,-2.0962782407562415
Reforming,2055,-2.4964712431323512
Reforming,2060,-2.9652851469812056
Reforming,2065,-3.4552240078192504
Reforming,2070,-3.9978413595683797
Reforming,2075,-4.536375719919745
Reforming,2080,-5.089247479754155
Reforming,2085,-5.62357933666269
Reforming,2090,-6.14744873771556
Reforming,2095,-6.635966036944845
Reforming,2100,-7.0996385607142845
Rest of Asia,1975,-29.875243489533716
Rest of Asia,1976,-28.430221782452605
Rest of Asia,1977,-27.77858232871941
Rest of Asia,1978,-24.62114921659571
Rest of Asia,1979,-24.665668999461445
Rest of Asia,1980,-20.113000458193028
Rest of Asia,1981,-20.351562329841514
Rest of Asia,1982,-18.033867924075665
Rest of Asia,1983,-15.027624951490623
Rest of Asia,1984,-12.960059643943978
Rest of Asia,1985,-9.804019487166329
Rest of Asia,1986,-4.195353083341203
Rest of Asia,1987,-2.823530611577894
Rest of Asia,1988,1.3893925268719158
Rest of Asia,1989,3.6141772929028946
Rest of Asia,1990,3.442612372051201
Rest of Asia,1991,2.4088654906698395
Rest of Asia,1992,4.908770940867328
Rest of Asia,1993,3.0446504194386677
Rest of Asia,1994,1.64327385339314
Rest of Asia,1995,0.08080346556397444
Rest of Asia,1996,-0.621637275235372
Rest of Asia,1997,-0.24994904095834158
Rest of Asia,1998,4.85975631694194
Rest of Asia,1999,4.240412717503332
Rest of Asia,2000,7.613430291887795
Rest of Asia,2001,6.240334437750647
Rest of Asia,2002,7.677913487999916
Rest of Asia,2003,9.237125037662835
Rest of Asia,2004,4.9665750474757715
Rest of Asia,2005,4.98497171622617
Rest of Asia,2006,3.5015987572841993
Rest of Asia,2007,4.1671480452694425
Rest of Asia,2008,5.701105094900939
Rest of Asia,2009,5.981165490165608
Rest of Asia,2010,6.891390552839184
Rest of Asia,2011,7.7404950689606835
Rest of Asia,2012,7.934958511186437
Rest of Asia,2013,5.439644450334185
Rest of Asia,2014,3.0141838920584973
Rest of Asia,2015,0
Rest of Asia,2016,-3.0484843493235303
Rest of Asia,2017,-4.457215190719779
Rest of Asia,2018,-5.626284979030942
Rest of Asia,2019,-7.278919529317193
Rest of Asia,2020,-3.172071796791357
Rest of Asia,2025,-7.80247495045279
Rest of Asia,2030,-11.938702758606382
Rest of Asia,2035,-14.302513847535465
Rest of Asia,2040,-16.582777763788982
Rest of Asia,2045,-18.284442140198593
Rest of Asia,2050,-20.132856642579256
Rest of Asia,2055,-23.368961913575887
Rest of Asia,2060,-27.0066362089716
Rest of Asia,2065,-30.703012716974797
Rest of Asia,2070,-34.68134416986484
Rest of Asia,2075,-38.65808267580417
Rest of Asia,2080,-42.55549504511826
Rest of Asia,2085,-46.30880534636695
Rest of Asia,2090,-49.884620161576464
Rest of Asia,2095,-53.23741755498456
Rest of Asia,2100,-56.42598506339425
