year,var,value
1975,Agiculture labor,0.753496391998698
1975,Labor force,1.573793137703
1975,Total population,4.07552245
1975,Rural population,2.5363588449472867
1976,Agiculture labor,0.7531593974961466
1976,Labor force,1.612720631924
1976,Total population,4.150608938
1976,Rural population,2.5712061309472865
1977,Agiculture labor,0.7551179345485522
1977,Labor force,1.653015568209
1977,Total population,4.225346173
1977,Rural population,2.6052430259472867
1978,Agiculture labor,0.758581948646376
1978,Labor force,1.696140331565
1978,Total population,4.30026623
1978,Rural population,2.6366934399472868
1979,Agiculture labor,0.7658816806814087
1979,Labor force,1.7308779167069999
1979,Total population,4.376121369000001
1979,Rural population,2.6658768859472866
1980,Agiculture labor,0.778060375340683
1980,Labor force,1.766621728083
1980,Total population,4.453488971
1980,Rural population,2.6943728959472866
1981,Agiculture labor,0.7879981598806041
1981,Labor force,1.8123967490330002
1981,Total population,4.532339449
1981,Rural population,2.7229585199472868
1982,Agiculture labor,0.8050532460405135
1982,Labor force,1.861335219
1982,Total population,4.612577359
1982,Rural population,2.7549587659472867
1983,Agiculture labor,0.8139074885124207
1983,Labor force,1.895912640283
1983,Total population,4.694606694
1983,Rural population,2.788275360947287
1984,Agiculture labor,0.8187193323871372
1984,Labor force,1.93664380228
1984,Total population,4.778904174
1984,Rural population,2.820212442947287
1985,Agiculture labor,0.8277044482669064
1985,Labor force,1.981148985667
1985,Total population,4.865686171999999
1985,Rural population,2.8524339939472867
1986,Agiculture labor,0.8379850350327076
1986,Labor force,2.028326057301
1986,Total population,4.955218264
1986,Rural population,2.885235831947287
1987,Agiculture labor,0.8462153305153457
1987,Labor force,2.0729207750380003
1987,Total population,5.04707184
1987,Rural population,2.9186442369472867
1988,Agiculture labor,0.8597624255678338
1988,Labor force,2.125630423433
1988,Total population,5.1399003
1988,Rural population,2.951872027947287
1989,Agiculture labor,0.8741642919618298
1989,Labor force,2.184498197079
1989,Total population,5.231880728
1989,Rural population,2.9850421149472868
1990,Agiculture labor,0.9319043109384745
1990,Labor force,2.314965037383
1990,Total population,5.321682827
1990,Rural population,3.0183453419472865
1991,Agiculture labor,0.9534970417082311
1991,Labor force,2.349317430617
1991,Total population,5.408810365
1991,Rural population,3.0494331009472866
1992,Agiculture labor,0.9651341186141822
1992,Labor force,2.376993695151
1992,Total population,5.493554751
1992,Rural population,3.0790931909472867
1993,Agiculture labor,0.9602395563007249
1993,Labor force,2.403846261621
1993,Total population,5.576353222
1993,Rural population,3.1077920609472867
1994,Agiculture labor,0.9577216131998173
1994,Labor force,2.43599180087
1994,Total population,5.6579816890000005
1994,Rural population,3.1351215509472867
1995,Agiculture labor,0.9523601391547201
1995,Labor force,2.46045548354
1995,Total population,5.739038024
1995,Rural population,3.1615056819472867
1996,Agiculture labor,0.9498578256898252
1996,Labor force,2.4956542021669996
1996,Total population,5.81961261
1996,Rural population,3.1875402899472864
1997,Agiculture labor,0.9580270733894635
1997,Labor force,2.532059776206
1997,Total population,5.89957544
1997,Rural population,3.2124596409472863
1998,Agiculture labor,0.9756700917368445
1998,Labor force,2.5636729719780003
1998,Total population,5.979071742
1998,Rural population,3.2360193689472867
1999,Agiculture labor,0.9880560481364762
1999,Labor force,2.596593923719
1999,Total population,6.058243698
1999,Rural population,3.258288009947287
2000,Agiculture labor,0.9993636032809159
2000,Labor force,2.636309007599
2000,Total population,6.1372325110000006
2000,Rural population,3.279047272947287
2001,Agiculture labor,1.00802593241754
2001,Labor force,2.672574184553
2001,Total population,6.216117719
2001,Rural population,3.295123506947287
2002,Agiculture labor,1.0155236033436554
2002,Labor force,2.711373182532
2002,Total population,6.2950257810000005
2002,Rural population,3.307560972947287
2003,Agiculture labor,1.0187309671333966
2003,Labor force,2.7489321623119998
2003,Total population,6.374192249
2003,Rural population,3.3188527759472866
2004,Agiculture labor,1.0087984943677342
2004,Labor force,2.8040329722400004
2004,Total population,6.453889504
2004,Rural population,3.3289341949472866
2005,Agiculture labor,1.0015393724068453
2005,Labor force,2.84233088102
2005,Total population,6.534313117
2005,Rural population,3.3379561639472866
2006,Agiculture labor,0.9863425724007719
2006,Labor force,2.882976114645
2006,Total population,6.615548039999999
2006,Rural population,3.346772049947287
2007,Agiculture labor,0.9748701874338284
2007,Labor force,2.9260972982610003
2007,Total population,6.697562597
2007,Rural population,3.3553176289472866
2008,Agiculture labor,0.9702911655745038
2008,Labor force,2.963953655346
2008,Total population,6.780277349
2008,Rural population,3.3627556769472866
2009,Agiculture labor,0.9585887763831544
2009,Labor force,2.983312758597
2009,Total population,6.863549921
2009,Rural population,3.3700567789472866
2010,Agiculture labor,0.9498965078800223
2010,Labor force,3.024212534017
2010,Total population,6.947247579
2010,Rural population,3.3772112859472867
2011,Agiculture labor,0.9314974288154215
2011,Labor force,3.070125385592
2011,Total population,7.031177691
2011,Rural population,3.3865176669472867
2012,Agiculture labor,0.9150706352924857
2012,Labor force,3.11320917084
2012,Total population,7.115702374
2012,Rural population,3.397085268947287
2013,Agiculture labor,0.8989352813197925
2013,Labor force,3.152646387352
2013,Total population,7.200249433999999
2013,Rural population,3.4067604759472867
2014,Agiculture labor,0.8834746576131776
2014,Labor force,3.1923492512869998
2014,Total population,7.284790129
2014,Rural population,3.415060726947287
2015,Agiculture labor,0.8733969509487646
2015,Labor force,3.234743953921
2015,Total population,7.369293
2015,Rural population,3.412487233947287
2016,Agiculture labor,0.8700432041706755
2016,Labor force,3.278003587781
2017,Agiculture labor,0.8648958492628362
2017,Labor force,3.317240602575
2018,Agiculture labor,0.8580998208097407
2019,Agiculture labor,0.8524153711058722
2020,Agiculture labor,0.8540557716669104
2020,Labor force,3.4336061906920006
2020,Total population,7.739744
2020,Rural population,3.4307907899565038
2025,Agiculture labor,0.8354684552703923
2025,Labor force,3.565234386051
2025,Total population,8.084343
2025,Rural population,3.3786775983902237
2030,Agiculture labor,0.8182794824647466
2030,Labor force,3.6734338496260004
2030,Total population,8.396879
2030,Rural population,3.290685697932514
2035,Agiculture labor,0.8082885000849045
2035,Labor force,3.749000060132
2035,Total population,8.6776
2035,Rural population,3.2032343343529606
2040,Agiculture labor,0.8003393924393569
2040,Labor force,3.807975018393
2040,Total population,8.924744
2040,Rural population,3.086645024977087
2045,Agiculture labor,0.7969820474466988
2045,Labor force,3.863333508055
2045,Total population,9.135442999999999
2045,Rural population,2.9770110426444307
2050,Agiculture labor,0.7908953950942593
2050,Labor force,3.879560608944
2050,Total population,9.305442999999999
2050,Rural population,2.8423742863245467
2055,Agiculture labor,0.7737383688816496
2055,Labor force,3.859074399614
2055,Total population,9.431939
2055,Rural population,2.7180135867613453
2060,Agiculture labor,0.751817736774479
2060,Labor force,3.838047492221
2060,Total population,9.516322
2060,Rural population,2.5741840182667928
2065,Agiculture labor,0.7271281029285462
2065,Labor force,3.816382389092
2065,Total population,9.563902
2065,Rural population,2.446118032202232
2070,Agiculture labor,0.6985887336696388
2070,Labor force,3.784750451152
2070,Total population,9.579808
2070,Rural population,2.306819431037
2075,Agiculture labor,0.6681785714806626
2075,Labor force,3.731385714852
2075,Total population,9.565126
2075,Rural population,2.184969340782445
2080,Agiculture labor,0.6361768504569195
2080,Labor force,3.669522100123
2080,Total population,9.521120999999999
2080,Rural population,2.055542406707836
2085,Agiculture labor,0.6036065561714039
2085,Labor force,3.595846478535
2085,Total population,9.450772
2085,Rural population,1.9426729898623736
2090,Agiculture labor,0.5707167427909452
2090,Labor force,3.51798663751
2090,Total population,9.359354999999999
2090,Rural population,1.8259574608610916
2095,Agiculture labor,0.5384143887167065
2095,Labor force,3.437291892319
2095,Total population,9.251418
2095,Rural population,1.7249409371997018
2100,Agiculture labor,0.5067247301544893
2100,Labor force,3.349933104899
2100,Total population,9.130180000000001
2100,Rural population,1.622800161467984
