scenario,region,year,var,value
Evolving,Africa,2015,Agricultural labor,1
Evolving,Africa,2020,Agricultural labor,1.0894795647129882
Evolving,Africa,2025,Agricultural labor,1.1600131901188115
Evolving,Africa,2030,Agricultural labor,1.1897584428338546
Evolving,Africa,2035,Agricultural labor,1.2276005584578427
Evolving,Africa,2040,Agricultural labor,1.2687755810015287
Evolving,Africa,2045,Agricultural labor,1.3165383963328634
Evolving,Africa,2050,Agricultural labor,1.3590710536651107
Evolving,Africa,2055,Agricultural labor,1.378218355436286
Evolving,Africa,2060,Agricultural labor,1.381593432768439
Evolving,Africa,2065,Agricultural labor,1.3731736610386298
Evolving,Africa,2070,Agricultural labor,1.3484726136905663
Evolving,Africa,2075,Agricultural labor,1.313033125609734
Evolving,Africa,2080,Agricultural labor,1.2665976674953248
Evolving,Africa,2085,Agricultural labor,1.213045049547138
Evolving,Africa,2090,Agricultural labor,1.1534556960605657
Evolving,Africa,2095,Agricultural labor,1.090770794167591
Evolving,Africa,2100,Agricultural labor,1.0261633751701582
Evolving,China,2015,Agricultural labor,1
Evolving,China,2020,Agricultural labor,0.8756678321471305
Evolving,China,2025,Agricultural labor,0.7882207252037404
Evolving,China,2030,Agricultural labor,0.7118893456146013
Evolving,China,2035,Agricultural labor,0.6445184041647135
Evolving,China,2040,Agricultural labor,0.586603285253499
Evolving,China,2045,Agricultural labor,0.5435268559703723
Evolving,China,2050,Agricultural labor,0.503941044369541
Evolving,China,2055,Agricultural labor,0.46306385444811826
Evolving,China,2060,Agricultural labor,0.42692272564471434
Evolving,China,2065,Agricultural labor,0.39457459700946895
Evolving,China,2070,Agricultural labor,0.3660121614657802
Evolving,China,2075,Agricultural labor,0.3397313258231495
Evolving,China,2080,Agricultural labor,0.3162944943703253
Evolving,China,2085,Agricultural labor,0.2946296978026872
Evolving,China,2090,Agricultural labor,0.27492556224577774
Evolving,China,2095,Agricultural labor,0.2571777584798282
Evolving,China,2100,Agricultural labor,0.24116455194389147
Evolving,North America,2015,Agricultural labor,1
Evolving,North America,2020,Agricultural labor,0.991306224076476
Evolving,North America,2025,Agricultural labor,0.9890809699909714
Evolving,North America,2030,Agricultural labor,0.9718124516496035
Evolving,North America,2035,Agricultural labor,0.9592945453735648
Evolving,North America,2040,Agricultural labor,0.9533153920914268
Evolving,North America,2045,Agricultural labor,0.9594908453743678
Evolving,North America,2050,Agricultural labor,0.9626863623654157
Evolving,North America,2055,Agricultural labor,0.9570760009550137
Evolving,North America,2060,Agricultural labor,0.9454210094987564
Evolving,North America,2065,Agricultural labor,0.9333802698066012
Evolving,North America,2070,Agricultural labor,0.9137594348892514
Evolving,North America,2075,Agricultural labor,0.8899606004392412
Evolving,North America,2080,Agricultural labor,0.8637617189835073
Evolving,North America,2085,Agricultural labor,0.836704908103944
Evolving,North America,2090,Agricultural labor,0.8083613947713648
Evolving,North America,2095,Agricultural labor,0.7801093879232277
Evolving,North America,2100,Agricultural labor,0.7498199909026491
Static,Africa,2015,Agricultural labor,1
Static,Africa,2020,Agricultural labor,1.1248761860707928
Static,Africa,2025,Agricultural labor,1.3055208353931003
Static,Africa,2030,Agricultural labor,1.4907927328220085
Static,Africa,2035,Agricultural labor,1.6891195424287033
Static,Africa,2040,Agricultural labor,1.91055848845249
Static,Africa,2045,Agricultural labor,2.149588419325939
Static,Africa,2050,Agricultural labor,2.401722862156152
Static,Africa,2055,Agricultural labor,2.6425434680439968
Static,Africa,2060,Agricultural labor,2.8801535535878644
Static,Africa,2065,Agricultural labor,3.1129561203388976
Static,Africa,2070,Agricultural labor,3.3350315122753487
Static,Africa,2075,Agricultural labor,3.542274918318685
Static,Africa,2080,Agricultural labor,3.731334402913843
Static,Africa,2085,Agricultural labor,3.900188424712109
Static,Africa,2090,Agricultural labor,4.0481251756487895
Static,Africa,2095,Agricultural labor,4.175455152518867
Static,Africa,2100,Agricultural labor,4.285458138647179
Static,China,2015,Agricultural labor,1
Static,China,2020,Agricultural labor,1.077293893448457
Static,China,2025,Agricultural labor,1.1461902044988523
Static,China,2030,Agricultural labor,1.1950583152207503
Static,China,2035,Agricultural labor,1.2217605007974037
Static,China,2040,Agricultural labor,1.235414359796793
