scenario,element,region,year,value,scenarioYear
Evolving,Supply: Production,Africa,2015,482.26310443946295,2015
Evolving,Supply: Production,Africa,2050,1157.053979915582,Evo. 2050
Evolving,Supply: Production,Africa,2100,2121.7441471735133,Evo. 2100
Evolving,Supply: Production,China,2015,739.4150665398461,2015
Evolving,Supply: Production,China,2050,930.2693622954495,Evo. 2050
Evolving,Supply: Production,China,2100,731.4093399920354,Evo. 2100
Evolving,Supply: Production,North America,2015,535.1740772,2015
Evolving,Supply: Production,North America,2050,657.894383850443,Evo. 2050
Evolving,Supply: Production,North America,2100,749.4301045149853,Evo. 2100
Evolving,Supply: Production,World,2015,3683.626598020131,2015
Evolving,Supply: Production,World,2050,5321.3994439460785,Evo. 2050
Evolving,Supply: Production,World,2100,6297.234505430978,Evo. 2100
Evolving,Supply: Import,Africa,2015,97.37465040000001,2015
Evolving,Supply: Import,Africa,2050,149.318927,Evo. 2050
Evolving,Supply: Import,Africa,2100,206.438105,Evo. 2100
Evolving,Supply: Import,China,2015,65.438501,2015
Evolving,Supply: Import,China,2050,56.550574999999995,Evo. 2050
Evolving,Supply: Import,China,2100,34.907831,Evo. 2100
Evolving,Supply: Import,North America,2015,21.301049,2015
Evolving,Supply: Import,North America,2050,32.6912,Evo. 2050
Evolving,Supply: Import,North America,2100,43.200719,Evo. 2100
Evolving,Supply: Import,World,2015,499.4228779,2015
Evolving,Supply: Import,World,2050,694.4962887,Evo. 2050
Evolving,Supply: Import,World,2100,814.7802502,Evo. 2100
Evolving,Demand: Other use,Africa,2015,-104.4380655,2015
Evolving,Demand: Other use,Africa,2050,-188.215397,Evo. 2050
Evolving,Demand: Other use,Africa,2100,-251.82829600000002,Evo. 2100
Evolving,Demand: Other use,China,2015,-144.1897197,2015
Evolving,Demand: Other use,China,2050,-133.9628597,Evo. 2050
Evolving,Demand: Other use,China,2100,-82.2885387,Evo. 2100
Evolving,Demand: Other use,North America,2015,-46.217095,2015
Evolving,Demand: Other use,North America,2050,-57.913229,Evo. 2050
Evolving,Demand: Other use,North America,2100,-65.8629917,Evo. 2100
Evolving,Demand: Other use,World,2015,-590.2136811,2015
Evolving,Demand: Other use,World,2050,-729.1571630999999,Evo. 2050
Evolving,Demand: Other use,World,2100,-722.7344476,Evo. 2100
