scenario,year,sector,value,prod,region
Evolving,2015,Livestock,1,1223.74250952869,World
Evolving,2015,Oil crops,1,879.9334925760566,World
Evolving,2015,Other crops,1,6085.439793755211,World
Evolving,2015,Staple crops,1,3683.626598020131,World
Evolving,2020,Livestock,0.9940812663341415,1329.9463110617598,World
Evolving,2020,Oil crops,0.9722537892536266,954.8436453620777,World
Evolving,2020,Other crops,0.966926528856316,6694.859964670996,World
Evolving,2020,Staple crops,0.9572222955620001,3951.6900700874357,World
Evolving,2025,Livestock,0.9959446020757533,1438.87914102668,World
Evolving,2025,Oil crops,0.9476353499460272,1026.258127799139,World
Evolving,2025,Other crops,0.9458738009480481,7317.856446336608,World
Evolving,2025,Staple crops,0.9332112716074226,4194.244326521559,World
Evolving,2030,Livestock,0.9964045718317451,1543.95319342875,World
Evolving,2030,Oil crops,0.9193502505678394,1095.6167210338683,World
Evolving,2030,Other crops,0.9236579904425415,7917.250449155809,World
Evolving,2030,Staple crops,0.9066198698344261,4442.959278501103,World
Evolving,2035,Livestock,0.9988257147904779,1640.2481350223,World
Evolving,2035,Oil crops,0.8947672152196401,1165.0974974748174,World
Evolving,2035,Other crops,0.9111196028873318,8453.586845996395,World
Evolving,2035,Staple crops,0.8924908403447874,4660.9257702126415,World
Evolving,2040,Livestock,1.0057806534331755,1731.10982939309,World
Evolving,2040,Oil crops,0.879010709354844,1254.242206083332,World
Evolving,2040,Other crops,0.9017458649242228,8991.310512434116,World
Evolving,2040,Staple crops,0.8849863981019224,4875.445283717377,World
Evolving,2045,Livestock,1.016366603312473,1815.78929529946,World
Evolving,2045,Oil crops,0.8710219608634624,1372.6070876052934,World
Evolving,2045,Other crops,0.8918351238907031,9555.100755518628,World
Evolving,2045,Staple crops,0.8809136125319283,5103.345559442792,World
Evolving,2050,Livestock,1.028886704641776,1892.5935542737,World
Evolving,2050,Oil crops,0.8645165348507201,1493.8238696970147,World
Evolving,2050,Other crops,0.8830717365667341,10090.401325678833,World
Evolving,2050,Staple crops,0.8784028756311678,5321.3994439460785,World
Evolving,2055,Livestock,1.0406133783389304,1962.84828041081,World
Evolving,2055,Oil crops,0.865703384705964,1586.7067487191562,World
Evolving,2055,Other crops,0.8770161085996967,10567.365679575072,World
Evolving,2055,Staple crops,0.8765127766158658,5513.622363225094,World
Evolving,2060,Livestock,1.0524835788384923,2025.52468567262,World
Evolving,2060,Oil crops,0.8664934935220375,1657.8873527700496,World
Evolving,2060,Other crops,0.8737645122800054,10966.623022649064,World
Evolving,2060,Staple crops,0.8743329269543089,5673.01770837904,World
Evolving,2065,Livestock,1.0624683326889977,2080.12289177903,World
Evolving,2065,Oil crops,0.8663793764367649,1721.6704931849386,World
Evolving,2065,Other crops,0.8683080373568817,11323.380542944768,World
Evolving,2065,Staple crops,0.8695364314914404,5819.917640294661,World
Evolving,2070,Livestock,1.071381651132656,2126.21192475048,World
Evolving,2070,Oil crops,0.8653678322213756,1766.2316412542407,World
Evolving,2070,Other crops,0.8646633983004093,11600.280355045954,World
Evolving,2070,Staple crops,0.8641477217144875,5937.533993885142,World
Evolving,2075,Livestock,1.0764187552851252,2163.52720426123,World
Evolving,2075,Oil crops,0.8627252943704218,1804.0254882040822,World
Evolving,2075,Other crops,0.8583812077563869,11821.009796223814,World
Evolving,2075,Staple crops,0.8553000100149172,6041.786748527403,World
Evolving,2080,Livestock,1.0810190422044819,2191.91429518808,World
Evolving,2080,Oil crops,0.8626949829750926,1839.7497252214314,World
Evolving,2080,Other crops,0.8528231874618939,11983.945766472447,World
Evolving,2080,Staple crops,0.847029194586077,6121.9797453326155,World
Evolving,2085,Livestock,1.0822236587640426,2211.82724437546,World
Evolving,2085,Oil crops,0.8616867893448464,1873.891836683385,World
Evolving,2085,Other crops,0.844156476397522,12108.74886807072,World
Evolving,2085,Staple crops,0.8365565691677201,6189.042393800437,World
Evolving,2090,Livestock,1.0829620671363658,2224.15613331512,World
Evolving,2090,Oil crops,0.8607727869910433,1903.243600986964,World
Evolving,2090,Other crops,0.8352872847490539,12198.182289218581,World
Evolving,2090,Staple crops,0.8268208948883322,6236.894611251106,World
Evolving,2095,Livestock,1.0816057448561798,2229.69708113952,World
Evolving,2095,Oil crops,0.8574433785738309,1927.1809094773535,World
Evolving,2095,Other crops,0.8244006594835193,12263.16309077554,World
Evolving,2095,Staple crops,0.8164129386509573,6273.370779465028,World
Evolving,2100,Livestock,1.0795053983082556,2228.8113730135,World
Evolving,2100,Oil crops,0.853640952559749,1944.896279128441,World
Evolving,2100,Other crops,0.8133668288931399,12298.220220043919,World
Evolving,2100,Staple crops,0.8065884341574309,6297.234505430978,World
Static,2015,Livestock,1,1223.74250952869,World
Static,2015,Oil crops,1,879.9334925760566,World
Static,2015,Other crops,1,6085.439793755211,World
Static,2015,Staple crops,1,3683.626598020131,World
Static,2020,Livestock,1.0117942626465628,1330.3334292044901,World
Static,2020,Oil crops,1.001548857599763,962.0693356281047,World
Static,2020,Other crops,1.0102836789667757,6663.800254196103,World
Static,2020,Staple crops,0.9997836473796045,3914.427176394435,World
Static,2025,Livestock,1.028573048346828,1440.1804448872,World
Static,2025,Oil crops,1.002554965707611,1035.8534968475267,World
Static,2025,Other crops,1.022524872086925,7261.661943903693,World
Static,2025,Staple crops,1.0056000171025417,4122.889293339431,World
Static,2030,Livestock,1.0442353669529525,1546.0116160901,World
Static,2030,Oil crops,0.9982623587603229,1101.7674329789365,World
Static,2030,Other crops,1.027710015935353,7831.632707444896,World
Static,2030,Staple crops,1.0064698536201133,4320.7503825888025,World
Static,2035,Livestock,1.0573028887329823,1642.8297153385001,World
Static,2035,Oil crops,0.990208216111672,1164.2904634149747,World
Static,2035,Other crops,1.0329010737926134,8338.56075862265,World
Static,2035,Staple crops,1.0088720397508353,4492.306138136981,World
Static,2040,Livestock,1.0699827408837659,1734.02025189921,World
Static,2040,Oil crops,0.9842464134045541,1239.4332985558979,World
Static,2040,Other crops,1.033586880186662,8840.601562830407,World
Static,2040,Staple crops,1.0094784770353975,4661.37765199701,World
Static,2045,Livestock,1.0825645892352977,1818.89418870969,World
Static,2045,Oil crops,0.9814165030572896,1337.0314573484982,World
Static,2045,Other crops,1.027674473286979,9363.158696310245,World
Static,2045,Staple crops,1.006586427800488,4847.233734072355,World
Static,2050,Livestock,1.0949115063857977,1895.9457972653,World
Static,2050,Oil crops,0.9777331154551397,1436.688310460358,World
Static,2050,Other crops,1.0190093317350466,9865.429676210531,World
Static,2050,Staple crops,1.0021063670154167,5024.595862890458,World
Static,2055,Livestock,1.1095108298125962,1966.4792104418,World
Static,2055,Oil crops,0.9839374159264596,1512.5796998972226,World
Static,2055,Other crops,1.0170100066077592,10309.954547194562,World
Static,2055,Staple crops,1.0031478994295182,5166.631647454348,World
Static,2060,Livestock,1.1236497310591984,2029.7435146018,World
Static,2060,Oil crops,0.9886482506952279,1570.1377663333244,World
Static,2060,Other crops,1.0168061556149177,10686.49039758597,World
Static,2060,Staple crops,1.0032747273434408,5277.317961310626,World
Static,2065,Livestock,1.1375084947052068,2085.1108787157,World
Static,2065,Oil crops,0.9935242897040152,1621.3497964700427,World
Static,2065,Other crops,1.0162171150085708,11019.975383126639,World
Static,2065,Staple crops,1.0024804120886728,5368.811408403017,World
Static,2070,Livestock,1.1502592332835826,2132.2148499646,World
Static,2070,Oil crops,0.9972989743873089,1656.1855600520532,World
Static,2070,Other crops,1.0173827620359572,11279.359671077893,World
Static,2070,Staple crops,1.000949649892161,5432.401209098436,World
Static,2075,Livestock,1.1616113556189323,2170.4700360683,World
Static,2075,Oil crops,1.0014649829904512,1685.3393437959528,World
Static,2075,Other crops,1.0188950620111454,11474.229950096333,World
Static,2075,Staple crops,0.998254382288384,5476.2508036838435,World
Static,2080,Livestock,1.1715135417116405,2199.9067227722,World
Static,2080,Oil crops,1.0066756296696522,1712.9962702951427,World
Static,2080,Other crops,1.020390586923042,11610.113647843318,World
Static,2080,Staple crops,0.9947507987332689,5501.538515689248,World
Static,2085,Livestock,1.1797291460652446,2220.8239009332,World
Static,2085,Oil crops,1.01183195857367,1737.2812958902987,World
Static,2085,Other crops,1.02078858909082,11699.961006074349,World
Static,2085,Staple crops,0.9901794194683344,5511.829108269638,World
Static,2090,Livestock,1.1865416324992537,2234.174140551,World
Static,2090,Oil crops,1.0159310659888792,1756.2963129458315,World
Static,2090,Other crops,1.019751051121676,11757.655820874621,World
Static,2090,Staple crops,0.9849796381657815,5510.244052913756,World
Static,2095,Livestock,1.1923749741021759,2240.7108525911003,World
Static,2095,Oil crops,1.0184267026848728,1768.7622966131744,World
Static,2095,Other crops,1.017717606985952,11787.62803183533,World
Static,2095,Staple crops,0.9797780994461184,5497.433739824383,World
Static,2100,Livestock,1.19683907736336,2240.7703500386,World
Static,2100,Oil crops,1.0194504785111906,1774.50891389979,World
Static,2100,Other crops,1.0146592037477378,11789.426019309138,World
Static,2100,Staple crops,0.974291390052217,5475.65492680995,World
Evolving,2015,Livestock,1,69.465459673,Africa
Evolving,2015,Oil crops,1,36.02035988147,Africa
Evolving,2015,Other crops,1,407.020215109955,Africa
Evolving,2015,Staple crops,1,482.263104439463,Africa
Evolving,2015,Livestock,1,154.64295990139001,China
Evolving,2015,Oil crops,1,33.167272950048,China
Evolving,2015,Other crops,1,953.324716996668,China
Evolving,2015,Staple crops,1,739.4150665398461,China
Evolving,2015,Livestock,1,159.538515994,North America
Evolving,2015,Oil crops,1,137.46922650000002,North America
Evolving,2015,Other crops,1,536.5494082,North America
Evolving,2015,Staple crops,1,535.1740772,North America
Evolving,2020,Livestock,1.027722483759944,77.376294139,Africa
Evolving,2020,Oil crops,1.0036235461967606,39.393054399922,Africa
Evolving,2020,Other crops,0.9583681527155307,471.0515139582381,Africa
Evolving,2020,Staple crops,0.9904013879211149,538.6228241870701,Africa
Evolving,2020,Livestock,0.9758973043713126,172.45257554416,China
Evolving,2020,Oil crops,0.9058497083766444,40.764000129933,China
Evolving,2020,Other crops,0.9105214253261072,1099.355904194598,China
Evolving,2020,Staple crops,0.903834879022626,803.882850239948,China
Evolving,2020,Livestock,1.0015204211290007,167.920303707,North America
Evolving,2020,Oil crops,0.9862917565573072,147.510428207292,North America
Evolving,2020,Other crops,0.9719018797895617,573.7522623195749,North America
Evolving,2020,Staple crops,0.9887308963282044,566.578513619537,North America
Evolving,2025,Livestock,1.0763957750376647,86.259657306,Africa
Evolving,2025,Oil crops,1.0023695400052732,44.2529629941869,Africa
Evolving,2025,Other crops,0.9329955222659745,545.9078426791012,Africa
Evolving,2025,Staple crops,0.9766406944163951,605.4917142191649,Africa
Evolving,2025,Livestock,0.9587488259726552,187.96503929818,China
Evolving,2025,Oil crops,0.8424893616861175,47.930651334639,China
Evolving,2025,Other crops,0.8501385579572992,1230.945823749773,China
Evolving,2025,Staple crops,0.8370407175680892,862.6340965785311,China
Evolving,2025,Livestock,1.0139217613085236,176.19463912700002,North America
Evolving,2025,Oil crops,0.9800156107203131,150.76874218965412,North America
Evolving,2025,Other crops,0.9560253912725071,611.9565826337999,North America
Evolving,2025,Staple crops,0.9902200514200437,582.390114039183,North America
Evolving,2030,Livestock,1.1222194967689645,97.865520914,Africa
Evolving,2030,Oil crops,0.9406104232145299,54.7671827309703,Africa
Evolving,2030,Other crops,0.8926863983608472,647.0657373478549,Africa
Evolving,2030,Staple crops,0.9175788640756304,706.4593325907978,Africa
Evolving,2030,Livestock,0.9460298952434913,198.50454960535,China
Evolving,2030,Oil crops,0.8001703337116606,53.296686940196,China
Evolving,2030,Other crops,0.8102791635492541,1322.754236763337,China
Evolving,2030,Staple crops,0.79378452698740265,902.896229581386,China
Evolving,2030,Livestock,1.022380836051666,184.40785203,North America
Evolving,2030,Oil crops,0.9673202605465534,151.64360374209,North America
Evolving,2030,Other crops,0.9372822379487304,647.544847734443,North America
Evolving,2030,Staple crops,0.9832343035276151,591.923621624557,North America
Evolving,2035,Livestock,1.1720164095323273,109.699143462,Africa
Evolving,2035,Oil crops,0.9007501887236211,65.88540621653132,Africa
Evolving,2035,Other crops,0.874339808160721,745.1917644571381,Africa
Evolving,2035,Staple crops,0.8830897657185603,813.3767574461694,Africa
Evolving,2035,Livestock,0.9385472993191906,204.3064044174,China
Evolving,2035,Oil crops,0.7681507443769872,57.710549895947004,China
Evolving,2035,Other crops,0.7836523754626075,1383.660993447453,China
Evolving,2035,Staple crops,0.7675677401136658,923.157056702023,China
Evolving,2035,Livestock,1.032149082913914,191.922079121,North America
Evolving,2035,Oil crops,0.9562127107707332,152.2496825879966,North America
Evolving,2035,Other crops,0.9276339454461621,675.018112258314,North America
Evolving,2035,Staple crops,0.9818100639747859,595.937056898353,North America
Evolving,2040,Livestock,1.2318967093755941,121.89972745899999,Africa
Evolving,2040,Oil crops,0.8774478812907284,78.31881272159708,Africa
Evolving,2040,Other crops,0.8698236328302712,845.0780001031169,Africa
Evolving,2040,Staple crops,0.8640818940142427,925.4169641294479,Africa
Evolving,2040,Livestock,0.9357404758397743,207.05448891248997,China
Evolving,2040,Oil crops,0.7448784238036932,61.832489988477,China
Evolving,2040,Other crops,0.7641729537198872,1425.342807783575,China
Evolving,2040,Staple crops,0.7491445654641564,933.3304696515689,China
Evolving,2040,Livestock,1.043766228782659,199.112081105,North America
Evolving,2040,Oil crops,0.9556585737529903,157.61879862405618,North America
Evolving,2040,Other crops,0.926974977794747,694.2938108993769,North America
Evolving,2040,Staple crops,0.9865607917962858,603.764769871163,North America
Evolving,2045,Livestock,1.2999347119091262,134.22866052199998,Africa
Evolving,2045,Oil crops,0.8674709389322924,92.36760803964131,Africa
Evolving,2045,Other crops,0.8715004376778215,951.3341308530232,Africa
Evolving,2045,Staple crops,0.8547189005433606,1040.0936027034008,Africa
Evolving,2045,Livestock,0.9370233732256888,207.31447663156,China
Evolving,2045,Oil crops,0.7295861501726422,65.639338597525,China
Evolving,2045,Other crops,0.7510459316813302,1449.3251599115652,China
Evolving,2045,Staple crops,0.7374890126891936,934.8301924741548,China
Evolving,2045,Livestock,1.05626575015714,205.998635908,North America
Evolving,2045,Oil crops,0.964833253079219,170.83270735914027,North America
Evolving,2045,Other crops,0.933800051034511,702.3461700084423,North America
Evolving,2045,Staple crops,0.9963707234421085,628.1277713711339,North America
Evolving,2050,Livestock,1.3719852483415025,146.479040014,Africa
Evolving,2050,Oil crops,0.8645531648730393,107.95812849845746,Africa
Evolving,2050,Other crops,0.8756864970548257,1064.096871933569,Africa
Evolving,2050,Staple crops,0.850086218704076,1157.053979915582,Africa
Evolving,2050,Livestock,0.938487733434405,205.37772631020002,China
Evolving,2050,Oil crops,0.716576713031977,69.267916981154,China
Evolving,2050,Other crops,0.7384951091433852,1460.593692291061,China
Evolving,2050,Staple crops,0.7266131331730261,930.2693622954494,China
Evolving,2050,Livestock,1.069100689346479,212.577326806,North America
Evolving,2050,Oil crops,0.9742236003362138,182.1541263310111,North America
Evolving,2050,Other crops,0.9408910044216642,710.9453754496008,North America
Evolving,2050,Staple crops,1.0073593392507805,657.894383850443,North America
Evolving,2055,Livestock,1.4423700325014197,158.37785836,Africa
Evolving,2055,Oil crops,0.8629643642531751,125.43417269773042,Africa
Evolving,2055,Other crops,0.8813861771389289,1178.5076517351292,Africa
Evolving,2055,Staple crops,0.8463356259169548,1274.664109522065,Africa
Evolving,2055,Livestock,0.9364741028524702,201.82294189850998,China
Evolving,2055,Oil crops,0.7061755887257687,71.840834618227,China
Evolving,2055,Other crops,0.7235934458796008,1462.598626671878,China
Evolving,2055,Staple crops,0.7115030709724689,924.2385260668557,China
Evolving,2055,Livestock,1.080122629087563,219.38863257900002,North America
Evolving,2055,Oil crops,0.982892954867009,189.14310229076602,North America
Evolving,2055,Other crops,0.9439482732989517,725.4409680527389,North America
Evolving,2055,Staple crops,1.013738738068916,685.666915258424,North America
Evolving,2060,Livestock,1.508689276980402,169.826926332,Africa
Evolving,2060,Oil crops,0.8666933251432404,143.50927454546385,Africa
Evolving,2060,Other crops,0.8886188738241736,1290.3249743970869,Africa
Evolving,2060,Staple crops,0.843343792394918,1389.7154654304252,Africa
Evolving,2060,Livestock,0.9337803390501122,197.22447694102001,China
Evolving,2060,Oil crops,0.6963706379007041,73.733141679257,China
Evolving,2060,Other crops,0.7095799990109972,1456.762247630843,China
Evolving,2060,Staple crops,0.6970834675673675,911.798838712014,China
Evolving,2060,Livestock,1.0905522498878928,226.25015991799998,North America
Evolving,2060,Oil crops,0.9880134238346375,192.84502051746998,North America
Evolving,2060,Other crops,0.9441864109760261,744.2332656352381,North America
Evolving,2060,Staple crops,1.016778979113815,707.8048571207812,North America
Evolving,2065,Livestock,1.5682684832454534,180.587509563,Africa
Evolving,2065,Oil crops,0.8723354745262468,163.05416364949923,Africa
Evolving,2065,Other crops,0.8936629924970959,1399.6152049477053,Africa
Evolving,2065,Staple crops,0.8380205168985227,1507.4515704144208,Africa
Evolving,2065,Livestock,0.928981151475104,191.90301594663,China
Evolving,2065,Oil crops,0.6858733240561641,75.362747171124,China
Evolving,2065,Other crops,0.6944294437391078,1445.8820044560011,China
Evolving,2065,Staple crops,0.681833135857991,895.7980537389241,China
Evolving,2065,Livestock,1.099226184652326,232.765509767,North America
Evolving,2065,Oil crops,0.9906082073604187,195.3097840547907,North America
Evolving,2065,Other crops,0.9419119435481833,760.9224898600952,North America
Evolving,2065,Staple crops,1.0176771417897938,729.0273009999084,North America
Evolving,2070,Livestock,1.6214609576580332,190.465615096,Africa
Evolving,2070,Oil crops,0.8815553437992919,182.7382086025843,Africa
Evolving,2070,Other crops,0.8993379748820509,1501.4300609159989,Africa
Evolving,2070,Staple crops,0.8327363820793783,1619.9525228542877,Africa
Evolving,2070,Livestock,0.923654348864675,186.14813767858,China
