scenario,sector,year,value,region,scenarioYear
Evolving,Energy crops,2050,55.498875201091536,World,Evo. 2050
Evolving,Energy crops,2100,69.81335634044345,World,Evo. 2100
Evolving,Staple crops,2015,1282.8104734140534,World,2015
Evolving,Staple crops,2050,1332.411714792651,World,Evo. 2050
Evolving,Staple crops,2100,1211.1553539487702,World,Evo. 2100
Evolving,Oil crops,2015,93.66054436154653,World,2015
Evolving,Oil crops,2050,100.92907554003548,World,Evo. 2050
Evolving,Oil crops,2100,106.27729857100482,World,Evo. 2100
Evolving,Other crops,2015,762.8946779311367,World,2015
Evolving,Other crops,2050,1172.1034854634722,World,Evo. 2050
Evolving,Other crops,2100,1211.2271561518235,World,Evo. 2100
Evolving,Livestock,2015,75.277411570639,World,2015
Evolving,Livestock,2050,122.640580364298,World,Evo. 2050
Evolving,Livestock,2100,149.215944463683,World,Evo. 2100
Static,Energy crops,2050,50.79067750790274,World,Sta. 2050
Static,Energy crops,2100,62.249998675028046,World,Sta. 2100
Static,Staple crops,2050,1280.2383573705656,World,Sta. 2050
Static,Staple crops,2100,1126.9026801384916,World,Sta. 2100
Static,Oil crops,2050,89.19676965142105,World,Sta. 2050
Static,Oil crops,2100,84.67024737596387,World,Sta. 2100
Static,Other crops,2050,1147.5264366687493,World,Sta. 2050
Static,Other crops,2100,1195.2158976839598,World,Sta. 2100
Static,Livestock,2050,122.60745174895,World,Sta. 2050
Static,Livestock,2100,149.69618967002,World,Sta. 2100
Evolving,Energy crops,2050,2.652182528531,Africa,Evo. 2050
Evolving,Energy crops,2100,2.6708209677963,Africa,Evo. 2100
Evolving,Staple crops,2015,86.29599818753701,Africa,2015
Evolving,Staple crops,2050,121.47639224230406,Africa,Evo. 2050
Evolving,Staple crops,2100,156.76820344999018,Africa,Evo. 2100
Evolving,Oil crops,2015,13.924118157259999,Africa,2015
Evolving,Oil crops,2050,9.280627620068906,Africa,Evo. 2050
