scenario,region,year,sector,value
Low productivity,Africa,2015,Agricultural labor,1
Low productivity,Africa,2020,Agricultural labor,1.1002051172165737
Low productivity,Africa,2025,Agricultural labor,1.1900154526381734
Low productivity,Africa,2030,Agricultural labor,1.2463550554231535
Low productivity,Africa,2035,Agricultural labor,1.3068439051463723
Low productivity,Africa,2040,Agricultural labor,1.3686033646580111
Low productivity,Africa,2045,Agricultural labor,1.4351921622994772
Low productivity,Africa,2050,Agricultural labor,1.4958062446484206
Low productivity,Africa,2055,Agricultural labor,1.5350283875039499
Low productivity,Africa,2060,Agricultural labor,1.5580087515702734
Low productivity,Africa,2065,Agricultural labor,1.5687467338427108
Low productivity,Africa,2070,Agricultural labor,1.5612468195754314
Low productivity,Africa,2075,Agricultural labor,1.5412645015279625
Low productivity,Africa,2080,Agricultural labor,1.5073373812841173
Low productivity,Africa,2085,Agricultural labor,1.4637311810260807
Low productivity,Africa,2090,Agricultural labor,1.4105190603595714
Low productivity,Africa,2095,Agricultural labor,1.3514702410050747
Low productivity,Africa,2100,Agricultural labor,1.2870656326512404
Low productivity,China,2015,Agricultural labor,1
Low productivity,China,2020,Agricultural labor,0.9192939417009777
Low productivity,China,2025,Agricultural labor,0.8606413849546514
Low productivity,China,2030,Agricultural labor,0.8016756392475889
Low productivity,China,2035,Agricultural labor,0.7437827761654578
Low productivity,China,2040,Agricultural labor,0.6900403035155016
Low productivity,China,2045,Agricultural labor,0.6475136522233029
Low productivity,China,2050,Agricultural labor,0.6063996525911151
Low productivity,China,2055,Agricultural labor,0.5629162874392906
Low productivity,China,2060,Agricultural labor,0.5229662521049336
Low productivity,China,2065,Agricultural labor,0.48624846291206714
Low productivity,China,2070,Agricultural labor,0.4528745581261704
Low productivity,China,2075,Agricultural labor,0.42170630341759485
Low productivity,China,2080,Agricultural labor,0.39313737572504354
Low productivity,China,2085,Agricultural labor,0.3664676615455701
Low productivity,China,2090,Agricultural labor,0.34178974532069334
Low productivity,China,2095,Agricultural labor,0.31941663544687
Low productivity,China,2100,Agricultural labor,0.29899391034120776
Low productivity,Europe,2015,Agricultural labor,1
Low productivity,Europe,2020,Agricultural labor,0.990920412881351
Low productivity,Europe,2025,Agricultural labor,0.9816650184811586
Low productivity,Europe,2030,Agricultural labor,0.9599641741416951
Low productivity,Europe,2035,Agricultural labor,0.9384006374042513
Low productivity,Europe,2040,Agricultural labor,0.9170123684932343
Low productivity,Europe,2045,Agricultural labor,0.8995760728687074
Low productivity,Europe,2050,Agricultural labor,0.8798774107655137
Low productivity,Europe,2055,Agricultural labor,0.856487530884431
Low productivity,Europe,2060,Agricultural labor,0.8301857899927576
Low productivity,Europe,2065,Agricultural labor,0.8029367134843682
Low productivity,Europe,2070,Agricultural labor,0.7729143079807922
Low productivity,Europe,2075,Agricultural labor,0.7420987106724207
Low productivity,Europe,2080,Agricultural labor,0.7103356870661252
Low productivity,Europe,2085,Agricultural labor,0.6793116202700382
Low productivity,Europe,2090,Agricultural labor,0.6484113984326901
Low productivity,Europe,2095,Agricultural labor,0.6187365140758933
Low productivity,Europe,2100,Agricultural labor,0.5891075874457098
Low productivity,South Asia,2015,Agricultural labor,1
Low productivity,South Asia,2020,Agricultural labor,1.00919209840231
Low productivity,South Asia,2025,Agricultural labor,1.0082846713724538
Low productivity,South Asia,2030,Agricultural labor,1.0248100303902192
Low productivity,South Asia,2035,Agricultural labor,1.0428549930746813
Low productivity,South Asia,2040,Agricultural labor,1.055024522322007
Low productivity,South Asia,2045,Agricultural labor,1.0613522691991184
Low productivity,South Asia,2050,Agricultural labor,1.058099966203659
Low productivity,South Asia,2055,Agricultural labor,1.0372404574305265
Low productivity,South Asia,2060,Agricultural labor,1.00733931743833
Low productivity,South Asia,2065,Agricultural labor,0.971794913285716
Low productivity,South Asia,2070,Agricultural labor,0.9318361303292501
Low productivity,South Asia,2075,Agricultural labor,0.8898938479593302
Low productivity,South Asia,2080,Agricultural labor,0.8466383209119152
Low productivity,South Asia,2085,Agricultural labor,0.8036638426307507
Low productivity,South Asia,2090,Agricultural labor,0.7613112090938394
Low productivity,South Asia,2095,Agricultural labor,0.7203173798406629
Low productivity,South Asia,2100,Agricultural labor,0.6805599864636841
Low productivity,Latin America,2015,Agricultural labor,1
Low productivity,Latin America,2020,Agricultural labor,1.0188697676420668
Low productivity,Latin America,2025,Agricultural labor,1.032638108699619
Low productivity,Latin America,2030,Agricultural labor,1.0301030659349173
Low productivity,Latin America,2035,Agricultural labor,1.0228156191626219
Low productivity,Latin America,2040,Agricultural labor,1.0144885377013952
Low productivity,Latin America,2045,Agricultural labor,1.0101116295595323
Low productivity,Latin America,2050,Agricultural labor,0.9996082187530091
Low productivity,Latin America,2055,Agricultural labor,0.9797076698301385
Low productivity,Latin America,2060,Agricultural labor,0.9517848491915775
Low productivity,Latin America,2065,Agricultural labor,0.9221278985228477
Low productivity,Latin America,2070,Agricultural labor,0.8873213069519604
Low productivity,Latin America,2075,Agricultural labor,0.8513475669981282
Low productivity,Latin America,2080,Agricultural labor,0.8138959064288985
Low productivity,Latin America,2085,Agricultural labor,0.7767524519184439
Low productivity,Latin America,2090,Agricultural labor,0.7393190846340274
Low productivity,Latin America,2095,Agricultural labor,0.7035393224074342
Low productivity,Latin America,2100,Agricultural labor,0.667990608563194
Low productivity,Middle East,2015,Agricultural labor,1
Low productivity,Middle East,2020,Agricultural labor,1.0472104799238584
Low productivity,Middle East,2025,Agricultural labor,1.09796661694441
Low productivity,Middle East,2030,Agricultural labor,1.1395036578386009
Low productivity,Middle East,2035,Agricultural labor,1.1796259459198275
Low productivity,Middle East,2040,Agricultural labor,1.2133943288893871
Low productivity,Middle East,2045,Agricultural labor,1.2449897900368956
Low productivity,Middle East,2050,Agricultural labor,1.2650028169195462
Low productivity,Middle East,2055,Agricultural labor,1.2714970398732472
Low productivity,Middle East,2060,Agricultural labor,1.2665683716840705
Low productivity,Middle East,2065,Agricultural labor,1.2562248782430114
Low productivity,Middle East,2070,Agricultural labor,1.2340604543185483
Low productivity,Middle East,2075,Agricultural labor,1.205901690149878
Low productivity,Middle East,2080,Agricultural labor,1.1709726138919974
Low productivity,Middle East,2085,Agricultural labor,1.1327304659334836
Low productivity,Middle East,2090,Agricultural labor,1.0911931395249141
Low productivity,Middle East,2095,Agricultural labor,1.0498222717935013
Low productivity,Middle East,2100,Agricultural labor,1.0055722297064946
Low productivity,North America,2015,Agricultural labor,1
Low productivity,North America,2020,Agricultural labor,1.0125282698991485
Low productivity,North America,2025,Agricultural labor,1.0274325052614453
Low productivity,North America,2030,Agricultural labor,1.0268470079435719
Low productivity,North America,2035,Agricultural labor,1.0261597323284448
Low productivity,North America,2040,Agricultural labor,1.0287446839223762
Low productivity,North America,2045,Agricultural labor,1.0411157625488328
Low productivity,North America,2050,Agricultural labor,1.0498724221635887
Low productivity,North America,2055,Agricultural labor,1.049588535085171
Low productivity,North America,2060,Agricultural labor,1.0431543487224653
Low productivity,North America,2065,Agricultural labor,1.0355005923679816
Low productivity,North America,2070,Agricultural labor,1.0196320728185948
Low productivity,North America,2075,Agricultural labor,0.9988065730808954
Low productivity,North America,2080,Agricultural labor,0.9745093407936826
Low productivity,North America,2085,Agricultural labor,0.9486738169979008
Low productivity,North America,2090,Agricultural labor,0.920841816816543
Low productivity,North America,2095,Agricultural labor,0.8925576121588653
Low productivity,North America,2100,Agricultural labor,0.8615710034182095
Low productivity,Pacific OECD,2015,Agricultural labor,1
Low productivity,Pacific OECD,2020,Agricultural labor,0.9966242834815768
Low productivity,Pacific OECD,2025,Agricultural labor,0.9685397824135298
Low productivity,Pacific OECD,2030,Agricultural labor,0.9297072695775045
Low productivity,Pacific OECD,2035,Agricultural labor,0.8918169146472763
Low productivity,Pacific OECD,2040,Agricultural labor,0.8516673176785039
Low productivity,Pacific OECD,2045,Agricultural labor,0.8170058486281528
Low productivity,Pacific OECD,2050,Agricultural labor,0.7828163767784121
Low productivity,Pacific OECD,2055,Agricultural labor,0.7494992797325631
Low productivity,Pacific OECD,2060,Agricultural labor,0.7147717397337342
Low productivity,Pacific OECD,2065,Agricultural labor,0.6804098445564808
Low productivity,Pacific OECD,2070,Agricultural labor,0.6460094855694187
Low productivity,Pacific OECD,2075,Agricultural labor,0.6115135160245115
Low productivity,Pacific OECD,2080,Agricultural labor,0.5775502183130602
Low productivity,Pacific OECD,2085,Agricultural labor,0.5447513666879532
Low productivity,Pacific OECD,2090,Agricultural labor,0.51272160715953
Low productivity,Pacific OECD,2095,Agricultural labor,0.4823482291161061
Low productivity,Pacific OECD,2100,Agricultural labor,0.45259593858350106
Low productivity,Reforming,2015,Agricultural labor,1
Low productivity,Reforming,2020,Agricultural labor,1.031356581163773
Low productivity,Reforming,2025,Agricultural labor,1.0309453482728184
Low productivity,Reforming,2030,Agricultural labor,1.0111322211797187
Low productivity,Reforming,2035,Agricultural labor,0.9937462938023928
Low productivity,Reforming,2040,Agricultural labor,0.9784880548879852
Low productivity,Reforming,2045,Agricultural labor,0.967646323653887
Low productivity,Reforming,2050,Agricultural labor,0.9534692682105471
Low productivity,Reforming,2055,Agricultural labor,0.9303900633405441
Low productivity,Reforming,2060,Agricultural labor,0.9006578577876112
Low productivity,Reforming,2065,Agricultural labor,0.8705512203100646
Low productivity,Reforming,2070,Agricultural labor,0.8366869870275611
