scenario,year,sector,value,region
Evolving,2015,Livestock,0.33183223342200785,World
Evolving,2015,Staple crops,0.08013786953456159,World
Evolving,2020,Livestock,0.329868206810636,World
Evolving,2020,Staple crops,0.07670975543732111,World
Evolving,2025,Livestock,0.3304865216713901,World
Evolving,2025,Staple crops,0.07478556313225795,World
Evolving,2030,Livestock,0.33063915446282743,World
Evolving,2030,Staple crops,0.07265458484623245,World
Evolving,2035,Livestock,0.3314425677382577,World
Evolving,2035,Staple crops,0.07152231452434181,World
Evolving,2040,Livestock,0.33375044056137704,World
Evolving,2040,Staple crops,0.07092092451095344,World
Evolving,2045,Livestock,0.33726319995271775,World
Evolving,2045,Staple crops,0.07059454015230301,World
Evolving,2050,Livestock,0.3414177731394903,World
Evolving,2050,Staple crops,0.07039333504611425,World
Evolving,2055,Livestock,0.3453090614630281,World
Evolving,2055,Staple crops,0.07024186653781858,World
Evolving,2060,Livestock,0.3492479766059648,World
Evolving,2060,Staple crops,0.07006717803003577,World
Evolving,2065,Livestock,0.35256123977634696,World
Evolving,2065,Staple crops,0.06968279710240931,World
Evolving,2070,Livestock,0.35551896614270767,World
Evolving,2070,Staple crops,0.06925095738134424,World
Evolving,2075,Livestock,0.3571904396636008,World
Evolving,2075,Staple crops,0.06854192061548466,World
Evolving,2080,Livestock,0.358716963146433,World
Evolving,2080,Staple crops,0.06787911508770382,World
Evolving,2085,Livestock,0.35911669374980915,World
Evolving,2085,Staple crops,0.0670398611982432,World
Evolving,2090,Livestock,0.35936172144917466,World
Evolving,2090,Staple crops,0.06625966500301063,World
Evolving,2095,Livestock,0.3589116499977005,World
Evolving,2095,Staple crops,0.06542559356393846,World
Evolving,2100,Livestock,0.35821468731174266,World
Evolving,2100,Staple crops,0.06463827870459452,World
High Elas.,2015,Livestock,0.33183219803068503,World
High Elas.,2015,Staple crops,0.08013786953456159,World
High Elas.,2020,Livestock,0.32964695493147816,World
High Elas.,2020,Staple crops,0.07673033004266581,World
High Elas.,2025,Livestock,0.32973244759858167,World
High Elas.,2025,Staple crops,0.074691342493026,World
High Elas.,2030,Livestock,0.3294105778328091,World
High Elas.,2030,Staple crops,0.07246293464446739,World
High Elas.,2035,Livestock,0.3296582224518091,World
High Elas.,2035,Staple crops,0.07118340386411245,World
High Elas.,2040,Livestock,0.3310935401898124,World
High Elas.,2040,Staple crops,0.07033765149564564,World
High Elas.,2045,Livestock,0.3336146527539391,World
High Elas.,2045,Staple crops,0.06973162880259877,World
High Elas.,2050,Livestock,0.336641041071005,World
High Elas.,2050,Staple crops,0.06921586611914674,World
High Elas.,2055,Livestock,0.3397973528505377,World
High Elas.,2055,Staple crops,0.06889012378742079,World
High Elas.,2060,Livestock,0.3429718140017143,World
High Elas.,2060,Staple crops,0.0685473217091297,World
High Elas.,2065,Livestock,0.34573148505979556,World
High Elas.,2065,Staple crops,0.0680685079649994,World
High Elas.,2070,Livestock,0.3481124661259705,World
High Elas.,2070,Staple crops,0.06754470295214841,World
High Elas.,2075,Livestock,0.34951808271531193,World
High Elas.,2075,Staple crops,0.0668307949339376,World
High Elas.,2080,Livestock,0.3507197824930933,World
High Elas.,2080,Staple crops,0.06614890441527811,World
High Elas.,2085,Livestock,0.3510263073079947,World
High Elas.,2085,Staple crops,0.06534706920249554,World
High Elas.,2090,Livestock,0.3510919242258331,World
High Elas.,2090,Staple crops,0.06458019023743451,World
High Elas.,2095,Livestock,0.3506219777964,World
High Elas.,2095,Staple crops,0.06379455067740945,World
High Elas.,2100,Livestock,0.34986235353872036,World
High Elas.,2100,Staple crops,0.06304043989046147,World
Low Elas.,2015,Livestock,0.3318324423068798,World
Low Elas.,2015,Staple crops,0.08013786953456159,World
Low Elas.,2020,Livestock,0.33041568689470613,World
Low Elas.,2020,Staple crops,0.07669355067873833,World
Low Elas.,2025,Livestock,0.33262086576432875,World
Low Elas.,2025,Staple crops,0.07511145857165571,World
Low Elas.,2030,Livestock,0.33417991882461245,World
Low Elas.,2030,Staple crops,0.0732717272684987,World
Low Elas.,2035,Livestock,0.33667577176258573,World
Low Elas.,2035,Staple crops,0.07256342360672693,World
Low Elas.,2040,Livestock,0.3417003692393612,World
Low Elas.,2040,Staple crops,0.07269521349421859,World
Low Elas.,2045,Livestock,0.3482700975993062,World
Low Elas.,2045,Staple crops,0.0731827384585101,World
Low Elas.,2050,Livestock,0.3559074262820494,World
Low Elas.,2050,Staple crops,0.07392653719624152,World
Low Elas.,2055,Livestock,0.36214951714599847,World
Low Elas.,2055,Staple crops,0.07436479958370652,World
Low Elas.,2060,Livestock,0.36870884711376695,World
Low Elas.,2060,Staple crops,0.07481532594440209,World
Low Elas.,2065,Livestock,0.37410545819800806,World
Low Elas.,2065,Staple crops,0.0748403657674274,World
Low Elas.,2070,Livestock,0.3791732233921716,World
Low Elas.,2070,Staple crops,0.07478266432739099,World
Low Elas.,2075,Livestock,0.3819259636478722,World
Low Elas.,2075,Staple crops,0.07415360833827725,World
Low Elas.,2080,Livestock,0.3846857545927429,World
Low Elas.,2080,Staple crops,0.07360956202062573,World
Low Elas.,2085,Livestock,0.38554583755443766,World
Low Elas.,2085,Staple crops,0.07267878750366799,World
Low Elas.,2090,Livestock,0.3866827981366551,World
Low Elas.,2090,Staple crops,0.07193700803633574,World
Low Elas.,2095,Livestock,0.3864941030078268,World
Low Elas.,2095,Staple crops,0.0709859695768656,World
Low Elas.,2100,Livestock,0.3862446984160189,World
Low Elas.,2100,Staple crops,0.0701434320838819,World
High transition,2015,Livestock,0.33183223342200785,World
High transition,2015,Staple crops,0.08013786953456159,World
High transition,2020,Livestock,0.329868206810636,World
High transition,2020,Staple crops,0.07670975543732111,World
High transition,2025,Livestock,0.3304579831826483,World
High transition,2025,Staple crops,0.07490115762026989,World
High transition,2030,Livestock,0.33060030467623625,World
High transition,2030,Staple crops,0.07288059772705913,World
High transition,2035,Livestock,0.3313660102408852,World
High transition,2035,Staple crops,0.07184128782889132,World
High transition,2040,Livestock,0.33361844311327477,World
High transition,2040,Staple crops,0.07133804655386047,World
High transition,2045,Livestock,0.33706946528544424,World
High transition,2045,Staple crops,0.07112484531395177,World
High transition,2050,Livestock,0.34117667691343084,World
High transition,2050,Staple crops,0.07104734376205545,World
High transition,2055,Livestock,0.34486534743930847,World
High transition,2055,Staple crops,0.07096463437600398,World
High transition,2060,Livestock,0.3486311584603866,World
High transition,2060,Staple crops,0.07086837300862135,World
High transition,2065,Livestock,0.3518092872554588,World
High transition,2065,Staple crops,0.07055589442542774,World
High transition,2070,Livestock,0.3546791783748879,World
High transition,2070,Staple crops,0.07019251406489284,World
High transition,2075,Livestock,0.35634964386390455,World
High transition,2075,Staple crops,0.06954253977021808,World
High transition,2080,Livestock,0.35796394600190296,World
High transition,2080,Staple crops,0.06894560066416737,World
High transition,2085,Livestock,0.3586158898603733,World
High transition,2085,Staple crops,0.06817699708976803,World
High transition,2090,Livestock,0.3592521471618891,World
High transition,2090,Staple crops,0.0674834252413688,World
High transition,2095,Livestock,0.3593312702655371,World
High transition,2095,Staple crops,0.06674250247837898,World
High transition,2100,Livestock,0.35936797844715307,World
High transition,2100,Staple crops,0.06609485137318499,World
Low transition,2015,Livestock,0.33183223342200785,World
Low transition,2015,Staple crops,0.08013786953456159,World
Low transition,2020,Livestock,0.329868206810636,World
Low transition,2020,Staple crops,0.07670975543732111,World
Low transition,2025,Livestock,0.33054402668096294,World
Low transition,2025,Staple crops,0.07467877943864659,World
Low transition,2030,Livestock,0.3307513825712539,World
Low transition,2030,Staple crops,0.07244801874038015,World
Low transition,2035,Livestock,0.33166215838441404,World
Low transition,2035,Staple crops,0.07124114791933676,World
Low transition,2040,Livestock,0.3340779762433655,World
Low transition,2040,Staple crops,0.07055670300797473,World
Low transition,2045,Livestock,0.33768943307412963,World
Low transition,2045,Staple crops,0.07012770130687454,World
Low transition,2050,Livestock,0.3419386214546521,World
Low transition,2050,Staple crops,0.06980301428376792,World
Low transition,2055,Livestock,0.34608842244476246,World
Low transition,2055,Staple crops,0.06958409857938952,World
Low transition,2060,Livestock,0.3503385363096095,World
Low transition,2060,Staple crops,0.06935319463101587,World
Low transition,2065,Livestock,0.3539795969836012,World
Low transition,2065,Staple crops,0.06893890139881328,World
Low transition,2070,Livestock,0.35724905651825833,World
Low transition,2070,Staple crops,0.06848334081379538,World
Low transition,2075,Livestock,0.3591806986200781,World
Low transition,2075,Staple crops,0.06777021973253315,World
Low transition,2080,Livestock,0.3609042136729152,World
Low transition,2080,Staple crops,0.06709859945408433,World
Low transition,2085,Livestock,0.3614465980264721,World
Low transition,2085,Staple crops,0.0662719463914589,World
Low transition,2090,Livestock,0.3618173267511908,World
Low transition,2090,Staple crops,0.06549992975683584,World
Low transition,2095,Livestock,0.36150226839833466,World
Low transition,2095,Staple crops,0.06469374659325797,World
Low transition,2100,Livestock,0.36088787333282113,World
Low transition,2100,Staple crops,0.06393007071279444,World
High productivity,2015,Livestock,0.33183223342200785,World
High productivity,2015,Staple crops,0.08013786953456159,World
High productivity,2020,Livestock,0.32615113777880933,World
High productivity,2020,Staple crops,0.07510446389988842,World
High productivity,2025,Livestock,0.32401250196613207,World
High productivity,2025,Staple crops,0.07233330904225767,World
High productivity,2030,Livestock,0.32201946430683454,World
High productivity,2030,Staple crops,0.06963700138355419,World
High productivity,2035,Livestock,0.32141428645386283,World
High productivity,2035,Staple crops,0.06821316824599347,World
High productivity,2040,Livestock,0.3226029691816415,World
High productivity,2040,Staple crops,0.06739911656688492,World
High productivity,2045,Livestock,0.32522712828159706,World
High productivity,2045,Staple crops,0.06691413660597229,World
High productivity,2050,Livestock,0.32853548370830404,World
High productivity,2050,Staple crops,0.06655562408497083,World
High productivity,2055,Livestock,0.3318452850790232,World
High productivity,2055,Staple crops,0.06634726724038915,World
High productivity,2060,Livestock,0.33517866697341886,World
High productivity,2060,Staple crops,0.06611958976811548,World
High productivity,2065,Livestock,0.33802820888788154,World
High productivity,2065,Staple crops,0.0657413392853613,World
High productivity,2070,Livestock,0.3404868638182665,World
High productivity,2070,Staple crops,0.06531409205794442,World
High productivity,2075,Livestock,0.341871171597523,World
High productivity,2075,Staple crops,0.0646872765900032,World
High productivity,2080,Livestock,0.3431187892162905,World
High productivity,2080,Staple crops,0.06410233660361776,World
High productivity,2085,Livestock,0.34347129274674104,World
High productivity,2085,Staple crops,0.06339908091609905,World
High productivity,2090,Livestock,0.3436245831796014,World
High productivity,2090,Staple crops,0.062732780035276,World
High productivity,2095,Livestock,0.34320202786662685,World
High productivity,2095,Staple crops,0.062038901811407775,World
High productivity,2100,Livestock,0.3425378703579176,World
High productivity,2100,Staple crops,0.06137759653772319,World
Low productivity,2015,Livestock,0.33183223342200785,World
Low productivity,2015,Staple crops,0.08013786953456159,World
Low productivity,2020,Livestock,0.3341112916095872,World
Low productivity,2020,Staple crops,0.07858890536891415,World
Low productivity,2025,Livestock,0.3383186749428784,World
Low productivity,2025,Staple crops,0.0779125062907291,World
Low productivity,2030,Livestock,0.34161214185672967,World
Low productivity,2030,Staple crops,0.07675791985841196,World
Low productivity,2035,Livestock,0.34470797676864884,World
Low productivity,2035,Staple crops,0.0762391089342507,World
Low productivity,2040,Livestock,0.34895317446699486,World
Low productivity,2040,Staple crops,0.07612798346803337,World
Low productivity,2045,Livestock,0.35409809631923267,World
Low productivity,2045,Staple crops,0.07618010025009153,World
Low productivity,2050,Livestock,0.35987324115972374,World
Low productivity,2050,Staple crops,0.07633783133528761,World
Low productivity,2055,Livestock,0.3650748715739794,World
Low productivity,2055,Staple crops,0.07643268642167479,World
Low productivity,2060,Livestock,0.3704119916679289,World
Low productivity,2060,Staple crops,0.0765291059699441,World
Low productivity,2065,Livestock,0.37491237618759415,World
Low productivity,2065,Staple crops,0.07631545474633675,World
Low productivity,2070,Livestock,0.37906681165016376,World
Low productivity,2070,Staple crops,0.07603766586204803,World
Low productivity,2075,Livestock,0.3816215682665769,World
Low productivity,2075,Staple crops,0.07536116325633645,World
Low productivity,2080,Livestock,0.38398740043848567,World
Low productivity,2080,Staple crops,0.07471449339543347,World
Low productivity,2085,Livestock,0.3849274871752867,World
