scenario,sector,year,value,region
Evolving,"paste(CH[4], "" Agriculture"")",2020,3.9012841779871525,World
Evolving,"paste(N[2], ""O Agriculture"")",2020,2.1406671722975705,World
High Elas.,"paste(CH[4], "" Agriculture"")",2020,3.900444952891135,World
High Elas.,"paste(N[2], ""O Agriculture"")",2020,2.1401900143193138,World
Low Elas.,"paste(CH[4], "" Agriculture"")",2020,3.9028571522030986,World
Low Elas.,"paste(N[2], ""O Agriculture"")",2020,2.141052262117139,World
High transition,"paste(CH[4], "" Agriculture"")",2020,3.9012841779871525,World
High transition,"paste(N[2], ""O Agriculture"")",2020,2.1406671722975705,World
Low transition,"paste(CH[4], "" Agriculture"")",2020,3.9012841779871525,World
Low transition,"paste(N[2], ""O Agriculture"")",2020,2.1406671722975705,World
High productivity,"paste(CH[4], "" Agriculture"")",2020,3.9036952241406024,World
High productivity,"paste(N[2], ""O Agriculture"")",2020,2.145210084498139,World
Low productivity,"paste(CH[4], "" Agriculture"")",2020,3.8986410395451863,World
Low productivity,"paste(N[2], ""O Agriculture"")",2020,2.135171342982113,World
Static,"paste(CH[4], "" Agriculture"")",2020,3.8923125899099635,World
Static,"paste(N[2], ""O Agriculture"")",2020,2.128563468964745,World
Evolving,"paste(CH[4], "" Agriculture"")",2020,0.42982731107208805,Africa
Evolving,"paste(CH[4], "" Agriculture"")",2020,0.4801651643950136,China
Evolving,"paste(CH[4], "" Agriculture"")",2020,0.3470998450802258,Europe
Evolving,"paste(CH[4], "" Agriculture"")",2020,0.8459577051627507,South Asia
Evolving,"paste(CH[4], "" Agriculture"")",2020,0.7545673899631781,Latin America
Evolving,"paste(CH[4], "" Agriculture"")",2020,0.05075962129271833,Middle East
Evolving,"paste(CH[4], "" Agriculture"")",2020,0.30722875576021536,North America
Evolving,"paste(CH[4], "" Agriculture"")",2020,0.13472612629938352,Pacific OECD
Evolving,"paste(CH[4], "" Agriculture"")",2020,0.146196058648713,Reforming
Evolving,"paste(CH[4], "" Agriculture"")",2020,0.404756200312866,Rest of Asia
Evolving,"paste(N[2], ""O Agriculture"")",2020,0.2420087363994202,Africa
